step,accuracy01,accuracy01/std,accuracy03,accuracy03/std,accuracy05,accuracy05/std,loss,loss/mean,loss/std,lr,momentum
1,0.8094463691653779,0.15772269228987923,0.9232128968394261,0.10923106036605625,0.9564448843951067,0.07895963354676379,0.6386891240544442,0.6386891240544442,0.46880975292929655,0.1,0.0
2,0.9256876192537596,0.048208937711333597,0.977303259499818,0.026587091887834098,0.9897475783072898,0.018292530263835358,0.25942736549166884,0.25942736549166884,0.16226933725462012,0.1,0.0
3,0.9424450257446044,0.04371571147751069,0.9852930777844826,0.020818813984316505,0.9927172452171343,0.014792761527084803,0.19499403862979992,0.19499403862979992,0.14009052384740675,0.1,0.0
4,0.9560206461928821,0.03721243393473932,0.9892526338117797,0.01706095691456943,0.9958283249664144,0.011036706004893057,0.14937326650088523,0.14937326650088523,0.1251786361589025,0.1,0.0
5,0.968394258517419,0.032193987556489286,0.9931414834193593,0.014542895872912518,0.9974545711659477,0.008802844394667093,0.11012227772695213,0.11012227772695213,0.10295258416102811,0.1,0.0
6,0.9730608781729478,0.03141294411280695,0.9943434914798837,0.013585108662491767,0.9978788093049563,0.008137050332698225,0.0966394829289793,0.0966394829289793,0.1056543438105182,0.1,0.0
7,0.9714346319734142,0.03077866950934725,0.994697023262391,0.013151496816899396,0.9978788093049568,0.008663169607443979,0.0964604315353913,0.0964604315353913,0.09576011052018293,0.1,0.0
8,0.9826769425939281,0.024117296102733478,0.9980202220179596,0.007897600804406749,0.9992222300784841,0.0048684761355946155,0.05764602559987839,0.05764602559987839,0.07095855728104064,0.1,0.0
9,0.9818284663791275,0.02385648924032987,0.9974545711659483,0.009291339460336083,0.9993636427914865,0.004413908677368282,0.06251302063373586,0.06251302063373586,0.08038102256598728,0.1,0.0
10,0.9831718870936534,0.022842456408290177,0.9980909283744603,0.008053372844862313,0.999434349147989,0.004166275980981521,0.05495986846697861,0.05495986846697861,0.07100939317828657,0.1,0.0
